RES_ID,RESPONSE,LABEL
TRA217,"akibat perang ini pula, israel berhasil memperlua batas wilayah yang ditentukan oleh rencana pembagian palestina.sejak awal permbentukan negara israel, batas negara israel berserta hak israel untuk berdiri telah dipertentangkan oleh banyak pihak , terutama oleh negara arab dan para pengungsi palesstina. israel telah menandatangani perjanjian damai dengan mesir dan yordania, namun usaha perdamaian antara palestina dan israel sampai saat ini belum berhasil",1
TRA218,Deklarasi Balfour adalah sebuah pernyataan resmi dan terbuka yang dikeluarkan oleh Pemerintah Inggris pada masa Perang Dunia 1 dan di tanda tangani oleh Arthur Balfour. Inti dari deklarasi ini adalah mengumumkan dukungan bagi pembentukan sebuah rumah nasional bagi bangsa Yahudi di Palestina. Adanya deklarasi ini menjadi awal konflik antara Israel dan Palestina yang masih berlanjut hingga sekarang.,1
TRA219,Hubungan dari ketiga gambar tersebut adalah bahwa perang Dunia 1 banyak menyebabkan dunia hancur.,0
TRA220,Hubungan gambar diatas ada kaitannya dengan Perang yang masih berlanjut setelah Perang dunia yang pertama dan kedua yaitu Israel dan Palestina.,0
TRA221,"James Arthur Bolfour (Menteri LN Inggris) mengeluarkan dokumen yang berisi pengklaiman tanah Palestina oleh Yahudi Israel (Deklarasi Balfour) yang dikeluarkan semasa PD I, dimana motifnya agar memenangkan PD I. Dengan mendukung orang-orang Yahudi, Inggris mengharapkan para kaum kaya atau pemodal Yahudi dapat membujuk Amerika dan Rusia untuk memberi dukungan di PD I. Dalam deklarasi Balfour dimanfaatkan oleh para Yahudi Israel untuk mendirikan negara Yahudi di Palestina. Sehingga sampai sekarang terus terjadi perang antara Israel dengan Palestina.",1
TRA222,tokoh tersebut adalah Arthur james balfour yang pernah menjadi PM inggris dan menteri luar negeri. Ketika menjadi menteri luar negeri mengeluarkan deklarasi balfour yang berisi dukungan bagi pembentukan sebuah rumah bagi Yahudi di palestina. Hal ini dilakukan karena kaum Yahudi sudah menjadi korban genosida Jerman. Sekarang palestina dan israel berkonflik karena memperebutkan wilayah itu.,1
TRA223,"Balas dendam Jerman pada Perancis, karena kekalahannya pada perang dunia 1. Awal penyerbuan jerman di kota Danzig pada tanggal 1 september 1939.",0
TRA224,"perang yang sama , karna merebutkan wilayah kekuasaan .",0
TRA225,Hubungan gambar diatas ada kaitannya dengan Perang yang masih berlanjut setelah Perang dunia yang pertama dan kedua yaitu Israel dan Palestina.,0
TRA226,"Merupakan salah satu tokoh perang dunia satu yang mendukung tanah Yahudi Palestina. berharap dengan menyokong tanah air Yahudi di Palestin, dunia Yahudi akan dapat mempengaruhi AS untuk menyertai perang.",0
