RES_ID,RESPONSE,LABEL
TRA1,"Tujuan penjelajahan samudra adalah mencari berbagai kekayaan alam ke daerah yang belum dieksplor sama sekali, hal itu berhubungan dengan prinsip ekonomi merkantilisme. Paham tersebut menyebabkan terbentuknya kolonialisme dan imperialisme",0
TRA2,adanya kesamaan perekonomian suatu untuk membangun negaranya agar sejahtera dan bangsa Eropa melakukan pelayaran menjelajahi bangsa yang kurang memadai setelah itu mereka melakukan penjajahan terhadap bangsa yang mereka jelajahi.,1
TRA3,Hubungannya adalah karena merkantilisme di kalang bangsa Eropa yang menitikberatkan bahwa suatu negara yang maju adalah memiliki aset negara yang maju dan berkembang,0
TRA4,Karena adanya merkantilisme ini banyak negara yang melakukan penjelajahan agar membuat negaranya memiliki banyak keuntungan dari negara lain misalnya mendapatkan rempah untuk kekayaan dan lainnya. Dari hal tersebutlah bangsa-bangsa yang melakukan pelayaran akhirnya menjajah sebuah bangsa untuk menguasai apa yang menguntungkan dari negara atau daerah tersebut,1
TRA5,"Hubungan antara ekonomi merkantilisme dengan penjelajahan Samudera dan kolonialisme-imperialisme bangsa Barat di Asia maupun Afrika yaitu merkantilisme dijadikan salah satu pendorong untuk melakukan eksploitasi, dan kolonialisasi di berbagai belahan dunia agar negaranya sejahtera karena memiliki aset dan modal yang melimpah.",1
TRA6,"Hubungan merkantilisme dan penjelajahan samudra ialah kalangan Bangsa Eropa menitik beratkan bahwa suatu negara itu sejahtera atau makmur memiliki aset dari negara maju dan berkembang. Negara - negara di Eropa pada masa itu saling bersaing untuk mendapatkan aset tersebut. Maka dari itu penjelajahan Samudra atau ekspedisi laut adalah cara agar tidak kalah saing dalam mendapatkan aset atau modal. Sedangkan hubungannya merkantilisme dengan kolonialisme-imperialisme bangs Barat di Asia maupun di Afrika ialah imperialisme dan kolonialisme merupakan sebuah fase dimana Bangsa Barat khususnya Bangsa Eropa mendominasi Asia sampai Afrika. Hal tersebut dilakukan oleh mereka dengan membawa semangat 3G yaitu Gold,Glory,dan Gospel dimana hal tersebut sepenuhnya berhasil dilakukan.Tidak hanya itu,mereka juga berhasil mengeksploitasi kekayaan alam yang ada di negara-negara yang mereka jajah sehingga merkantilisme tersebut terjadi pada negara di Bangs Eropa yang berhasil mendapatkan aset atau modal dari negara yang mereka jajah baik negara berkembang maupun negara maju.",1
TRA7,"Hubungan antara ekonomi merkantilisme dengan penjelajahan Samudera dan kolonialisme-imperialisme bangsa Barat di Asia maupun di Afrika adalah sebgai berikut. Terdapat hubungannya yairu dengan adanya ekonomi Merkantilisme membuat negara bangsa Barat atau penjelajah samudera ini memiliki ambisu untuk merebut habis setiap kekayaan yang di Asia ataupun di Afrika, sehingga muncullah kolonialisme-imperialisme. Bangsa Barat melakukan merkantilisme untuk memperoleh keuntungan yang besar.",1
TRA8,"karena negara-negara imperialis banyak menggunakan aliran merkantilisme untuk memperbanyak aset, mereka akhirnya melakukan penjelajahan samudera untuk melakukan perdagangan/mencari barang untuk diperdagangkan sehingga mereka menjajah benua-benua yang mereka singgahi untuk mencari keuntungan agar menaikan aset atau modal negara tsb.",1
TRA9,"Merkantilisme itu sendiri karena merkantilisme mengartikan bahwa suatu negara yang maju adalah negara yang memiliki aset yang maju dan berkembang, dan mampu bersaing dengan negara-negara lain. Dalam hal ini persaingan yang mereka lakukan adalah dengan melakukan ekspedisi laut serta melakukan ekspansi ke negara lain untuk menambah cadangan moneter. Paham itulah yang menyebabkan munculnya kolonialisme dan imperialisme oleh bangsa Eropa.",1
TRA10,"Eropa menganut sistem ekonomi merkantilisme (Motif penjelajahan ini yaitu: 3G Gold, Glory, Gospel), hal ini membuat standar kekayaan negara pada saat itu adalah emas. Merkantilisme mengajarkan bahwa pemerintahan suatu negara harus mencapai neraca perdagangan positif dengan melakukan perlindungan terhadap perekonomiannya, dengan mendorong ekspor dan mengurangi impor (biasanya dengan pemberlakuan tarif yang besar). Kebutuhan akan pasar yang diajarkan oleh teori merkantilisme akhirnya mendorong terjadinya banyak peperangan di kalangan negara Eropa dan juga menandai dimulainya era kolonialisme dan imperialisme Eropa.",1
