RES_ID,RESPONSE,LABEL
TRA1,"Tokoh tersebut adalah Robespierre. Dalam revolusi Perancis, ia memberikan pengaruh besar terhadap dunia, termasuk Amerika mengenai pendapatnya akan bentuk negara dalam bentuk republik dan adanya demokrasi. Hal ini akhirnya memicu koloni Amerika untuk melakukan revolusi dan berakhir dengan adanya demokrasi untuk negara Amerika. Apabila dihubungkan dengan peristiwa menyerahnya Jenderal Cornwallis di Yorktown, Virginia adalah Virginia menjadi koloni demokrasi.",1
TRA2,"Kesehatan Lenin semakin menurun, Lenin membuat wasiat dengan mengangkat Trotsky sebagai Sekretaris Jenderal Komite Pusat Partai Komunis Uni Soviet, menggantikan Joseph Stalin yang menurutnya tidak pantas mendapatkan jabatan tersebut. Pada pertempuran di kota Tsaritsyn, ada perbedaan pendapat antara Trotsky dan Stalin. Trotsky mengangkat bekas perwira kekaisaran rusia menjadi komandan lapangan. Stalin menganggap itu adalah hal yang gegabah dan berspekulasi bahwa komandan lapangan akan berkhianat. Hubungan mereka semakin memanas ketika Lenin meninggal. Trotsky dan Stalin berebut kekuasaan untuk menggantikan Lenin. Pada saat pemakaman Lenin, Stalin menyampaikan ideologi komunsimenya kepada rakyat Rusia. Ideologi stalin adalah membangun sosialisme dan membangun masyarakat komunis dan menggunakan sistem spionase. Sedangkan Trotsky ingin mengembangkan ideologi Marxsisme yaitu dimana kehidupan masyarakat harus ditata dan diatur, ia juga memiliki pandangan bahwa revolusi rusia harus bergantung pada revolusi negara lain (eropa barat)",1
TRA3,Konflik yang terjadi dari dua tokoh tersebut karena mereka memiliki dua pribadi beda. Tokoh pertama karakteristiknya dia menggunakan cara licik untuk mengalahkan tokoh kedua. Tokoh kedua karakteristiknya dia selalu berusaha untuk mengalahkan tokoh pertama.,0
TRA4,"Trotsky dan Stalin merupakan tokoh Uni Soviet yang ingin saling merebut kuasa pemimpin di negara tersebut. Perilaku Trotsky sangat bertentangan denga apra anggota partau yang paling terkemuka, serta merugikan front dan revolusi.",0
TRA5,konflik antara Leon Trotsky dan Joseph Stalin. Penunjukan Leon Trotsky atas Pavel stylin sebagai komandan Front Selatan memicu ledakan amarah stalin. Trotsky dianggap menghina anggota Partai serta merugikan kepentingan Front dan Revolusi. Karakteristik pemikiran : Leon Trotsky penganut teori marxisme Joseph Stalin penganut teori sosialisme.,1
TRA6,dua tokoh tersebut adalah leon trotsky dan josef stalin. kedua tokoh itu adalah pemimpin revolusi Rusia yang bersitegang karena terjadi perbedaan pendapat dalam pertempuran kota Tsaritsyn. Amarah Stalin meledak ketika trotsky mantan jenderal kekaisaran sebagai komandan perang dan Stalin seringkali mengabaikan perintah Trotsky dan konflik ini terus berkembang hingga menjadi permusuhan terbuka dan berakhir dengan kemenangan trotsky tapi stalin berhasil mengusir trotsky dan dibunuh di meksiko Trotsky memiliki teori marxisme yang bernama trotskyisme. Dalam pandangan Trotsky revolusi rusia harus bergantung pada revolusi negara lain khususnya eropa barat seperti ekonomi harus dilihat dari sistem dunia bukan nasional stalin memiliki teori stalinisme dengan paham sosialisme dan membangun masyarakat komunis,1
TRA7,"kesehatannya menurun akibat dampak dua luka peluru, kemudian terserang tiga stroke yang berujung dengan kematian. Saat Kamenev dan Zinoviev menemukan diri mereka sendiri dalam sebuah minoritas atas keyakinan mereka bahwa sosialisme hanya dapat diraih secara internasional.",0
TRA8,"mereka berdua memperebutkan uni soviet , konflik pertamanya ialah kedua pemimpin revolusi rusia ini terjadi pada saat mempertahankan kota tsaritsyn. stalin di kenal sebagai pemimpin yang otoriter sedangkan trotsky di kenal sebagai orang yang arogan .",0
TRA9,"kesehatannya menurun akibat dampak dua luka peluru, kemudian terserang tiga stroke yang berujung dengan kematian. Saat Kamenev dan Zinoviev menemukan diri mereka sendiri dalam sebuah minoritas atas keyakinan mereka bahwa sosialisme hanya dapat diraih secara internasional.",0
TRA10,"Stalin dan Trotsky tidak pernah satu suara atas upaya pertahanan di Tsaritsyn. Lambat laun, konflik mereka menjelma menjadi permusuhan terbuka. Trotskyisme teori revolusi permanen yang pertama kali dikemukakan oleh Leon Trotsky. Stalinisme ideologi yang dikemukakan oleh Josef",1
