RES_ID,RESPONSE,LABEL
TRA156,"ketika berumur 33 tahun, ia memilih untuk memihak rakyat negara bagian virginia yang memberontak melawan orang orang inggris yang mengeluarkan undang undang yang tidak adil menurut pendapat rakyat virginia. Ia pun bertugas memimpin tentara virginia. pada tahun 1775 ia diangkat menjadi panglima tertinggi oleh kongres kontinental, yaitu kongres ke 13 daerah jajahan kerajaaan inggris.",0
TRA157,george washington adalah pemimpin amerika melawan inggris pada saat revolusi amerika. dia juga yang memimpin pertempuran yorktown. Ia berhasil menjebak Jenderal Cornwallis dan membuat Jenderal Cornwallis menyerah. menyerahnya Cornwallis menjadi pertanda berakhirnya perang besar di amerika utara dan dibangunnya ibu kota washington.,1
TRA158,Peran tokoh tersebut dalam revolusi Amerika adalah tokoh tersebut ingin Amerika merdeka.,0
TRA159,"George Washington merupakan panglima tertinggi yang memimpin perang dan hal tersebut membuahkan kemenangan amerika terhadap inggris, Peran utama George Washington dimana ia berhasil mengepung pasukan Inggris di Yorktown Virginia yang membuat Inggris menyerah dan membuat perjanjian Paris",1
TRA160,"Peranan George Washington : Diangkat jadi panglima tertinggi tentara Kontinental dalam perang Amerika dan Inggris Perannya dalam Revolusi Amerika ketika pasukannya berhasil mengepung pasukan Inggris yang dipimpin oleh Jendral Cornwals di Yorktiwn, Virginia. Inggris menyerah dan menghasilkan Perjanjian Paris",1
TRA161,"tokoh tersebut adalah George Washington, presiden pertama amerika serikat. Dia berperan sebagai panglima perang dan berhasil mengepung pasukan inggris di Virginia. pengepungan ini berhasil setelah amerika berhasil menjebak inggris yang dipimpin oleh jenderal cornwallis dan terus mengusai pertahanan inggris di Yorktown. cornwallis menyerahkan pasukannya dan diakhiri dengan kemenangan pejuang amerika",1
TRA162,"Washington lahir di keluarga kaya yang memiliki lahan tembakau dan budak di Koloni Virginia. Ia mendapatkan kesempatan untuk memperoleh pendidikan, dan saat ia berumur tujuh belas tahun, ia meniti karier yang sukses sebagai seorang pengukur lahan.",0
TRA163,"dia menjadi panglima perang dan menangani amerika dari inggris , dan mengepung pasukan inggris di yorktown virginia sehingga inggris menyerah dan menghasilkan perjanjian",1
TRA164,"George Washington merupakan panglima tertinggi yang memimpin perang dan hal tersebut membuahkan kemenangan amerika terhadap inggris, Peran utama George Washington dimana ia berhasil mengepung pasukan Inggris di Yorktown Virginia yang membuat Inggris menyerah dan membuat perjanjian Paris",1
TRA165,"Dia memimpin para Patriot dalam perang kemerdekaan untuk mengusir Inggris, dan ikut dalam Konvensi Konstitusional pada 1787 sebagai dasar pemerintahan AS. Dirinya berhasil mengecap kemenangan yang membuat menyerahnya jendral Cornwallis",1
TRA166,"- Peranan tokoh tersebut atau George Washington terhadap revolusi Amerika adalah George diangkat menjadi panglima tertinggi untuk memimpin perang dan menenangkan atau mendinginkan suasana antara Amerika dan Inggris yang membawa keberhasilan yaitu merdeka dari Britania Raya, peran George dalam revolusi Amerika yaitu disaat pasukannya berhasil mengepung atau menjebak pasukan Inggris di Yorktown, Virginia, setelah itu Inggris menyerah dan menghasilkan Perjanjian Paris 1783. Hubungannya dengan peristiwa menyerahnya Jenderal Cornwallis di Yorktown Virginia adalah Jenderal George Washington membuat kemenangan atas pertempuran Yorktown yang dipimpin Jenderal Cornwallis di Yorktown,Virginia",1
TRA167,"Nama pria dalam gambar tersebut adalah Jenderal George Washington. Dia adalah pemimpin dari pihak Amerika melawan pihak Inggris di dalam Revolusi Amerika (1775-1783). Salah satu pertempuran yang ia pimpin adalah Pertempuran Yorktown yang terjadi pada tanggal 28 September hingga 19 Oktober 1781. Pasukan gabungan Perancis-Amerika yang dipimpinnya bersama Jean-Baptiste Donatien de Vimeur berhasil menjebak pasukan Inggris di bawah pimpinan Letnan Jenderal Lord Charles Cornwallis di Sungai York di Virginia Selatan. Karena terkepung oleh pasukan Amerika, akhirnya Letnan Jenderal Lord Charles Cornwallis pun menyerah. Kemenangan pasukan gabungan Amerika-Perancis tersebut mengakhiri peperangan besar di Amerika Utara antara Amerika melawan Inggris selama Revolusi Amerika.",1
TRA168,"George diangkat jadi panglima tertinggi buat memimpin perang dan menangin Amerika dari Inggris. Puncak peran George Washington dalam Revolusi Amerika adalah ketika pasukannya berhasil mengepung pasukan Inggris di Yorktown, Virginia. Inggris menyerah dan menghasilkan Perjanjian Paris (1783).",1
TRA169,"George Washington adalah seorang jenderal dan negarawan yang dikenal sebagai salah satu Bapak Pendiri Amerika Serikat. Ia memimpin pasukan Patriot selama Perang Revolusi Amerika dan berhasil mengantarkan mereka menuju pintu kemerdekaan dari Britania Raya. George diangkat jadi panglima tertinggi untuk memimpin perang dan memenangkan Amerika dari Inggris. Puncak peran George Washington dalam Revolusi Amerika adalah ketika pasukannya berhasil mengepung pasukan Inggris di Yorktown, Virginia. Ia merupakan orang yang menentang koloni-koloni yang mendeklarasikan kemerdekaan. George behasil menangkap Jenderal Cornwallis di Yorktown Virginia dengan bantuan pasukan perancis dan Jenderal Cornwallis pun menyerah",1
TRA170,"George Washington telah menjadi pimpinan militer Amerika. Bahkan ia dijuluki ""Father of His Country"" dikarenakan George adalah presiden pertama di Amerika. Telah terjadi banyak pertempuran antara orang Inggris dan Amerika. Tetapi puncak peran dia adalah keberhasilan pengepungan pasukan Inggris di Yorktown, Virginia yang membuat Jenderal Cornwallis menyerah.",0
TRA171,"George Washington dikenal sebagai presiden pertama amerika serikat. Pada awalnya ia bercita - cita sebagai seorang tentara namun selama menjadi tentara ia merasa tidak dihargai. Akhirnya ia beralih menjadi seorang politikus pada masa ini ia merasa kebijakan inggris merugikan rakyat amerika, akhirnya ia dan beberapa teman temanya memimpin perlawanan terhadap Inggris. Pucak terbesar perlawanan Inggris terjadi di Yorktown virginia dimana pada saat itu George telah diangkat menjadi panglima dan memimpin perang tersebut pada akhirnya inggris pun kalan dan Jendral Cornwallis menyerah.",1
TRA172,"George Washington merupakan seorang Jenderal yang dikenal sebagai salah satu bapak pendiri Amerika Serikat sekaligus menjadi presiden pertama.Ia diangkat menjadi panglima tertinggi untuk memimpin perang.Puncak peran George Washington dalam revolusi Amerika yaitu ketika pasukannya berhasil mengepung pasukan Inggris di Yorktown,Virginia. peristiwa menyerahnya Jenderal Cornwallis dalam revolusi Amerika yang menyebabkan kekalahan pada Iinggris dan menjadi suatu kemenangan Amerika.George Washington menggunakan kerahasiaan sebagai taktik utamanya yaitu ia ingin semua orang percaya bahwa dia akan mengirim pasukannya ke New York sehingga Inggris pun harus menerima kekalahannya melawan Amerika.",1
TRA173,george washington merupakan pemimpin pasukan disaat revolusi ditunjuknya george washington dari virgina sebagai pemimpin gtertinggi tentara,0
TRA174,"George Washington adalah seorang presiden Amerika Serikat pertama, lalu Ia diangkat menjadi panglima tertinggi untuk memimpin perang antara Amerika dan Inggris. Menyerahnya Jendral Cornwallis yaitu ketika pasukan dari Amerika sudah berhasil mengepung pasukan Inggris di Yorktown, Virginia.",0
TRA175,george washington adalah pemimpin pasukan Patriot selama Perang Revolusi Amerika dan berhasil mengantarkan mereka menuju pintu kemerdekaan dari Britania Raya.,0
TRA176,"tokoh tersebut adalah george washington yang di tunjuk sebagai panglima tertinggi untuk memimpin perang, pada saat perang di yorktown george serta pasukannya berhadil mengepung pasukan inggris dan karena sudah terkepung akhirnya jendral cornwallis memutuskan untuk menyerah dan menghasilkan perjanjian paris.",1
TRA177,George washington merupakan pendiri Amerika serikat sekaligus presiden pertama dan ia berperan dalam revolusi amerika ketika itu George Washington adalah seorang jendral dimana saat itu terjadinya revolusi amerika atau perang kemerdekaan amerika atau Boston Tea Party atau pemaksaan undang-undang teh kepada wilayah koloni sehingga terjadilah perang dan akhirnya pasukan koloni yang dipimpin oleh George washington berhasil mampu mengalahkan pasukan inggris dimana inggris yang di bawah pimpinan Jendral cornwallis harus mengakui bahwa Amerika telah menang dalam perang revolusi selama enam tahun inggris sendiri telah mengalami kerugian besar dan terpaksa menyerah di Yorktown Virginia cornwallis mengibarkan bendera gencatan senjata dan menyetujui persyaratan,1
TRA178,"beliau adalah George Washington salah satu tokoh pendiri Amerika. Peranan beliau terhadap revolusi Amerika adalah beliau memimpin pasukan dalam perang revolusi Amerika dan berhasil membawa ke pintu kemerdekaan. Menyerahnya Jenderal Cornwallis diawali dengan kurang nya pasukan Inggris di Amerika dan menunggu bala bantuan, mendengar ini George Washington dan pasukan Perancis melakukan pengepungan di Yorktown Virginia dan berhasil membuat Cornwallis mengibarkan bendera gencatan senjata",1
TRA179,"Dia sangat berperan karena ketika dia diangkat menjadi panglima tertinggi untuk memimpin perang dan memenangkan Amerika dari Inggris,puncak perannya adalah ketika pasukan Cornwallis dari Inggris menyerah karena berhasil dikepung di Yorktown,Virginia dan menghasilkan perjanjian Paris 1783",1
TRA180,George merupakan panglima tertinggi buat memimpin perang dan memenangkan perang oleh Amerika. Peran George Washington dalam revolusi Amerika yaitu saat pasukannyya berhasil mengepung pasukan Inggris di Yorktown Virginia dan Inggris menyerah.,1
TRA181,George Washington merupakan orang yang menentang koloni-koloni yang mendeklarasikan kemerdekaan lalu Geroge Washington juga adalah seorang jendral yang memimpin pasukan selama Revolusi Amerika berlangsung . Lalu pada oktober 1781 dengan bantuan Prancis pasukan mampu menangkap Jenderal Cornwalllis di Yorktown Virginia sehingga Cornwallis menyerah .,1
TRA182,"Peranan tokoh tersebut terhadap revolusi Amerika dan hubungannya dengan peristiwa menyerahnya Jenderal Cornwallis di Yorktown Virginia yaitu George Washington, George diangkat menjadi panglima tertinggi untuk memimpin perang dan menenangkan suasana antara Amerika dan Inggris yang membawa keberhasilan yaitu kemerdekaan dari Britania Raya, perannya yaitu ketika pasukannya berhasil mengepung pasukan Inggris di Yorktown Virginia.",1
TRA183,"George Washington merupakan panglima tertinggi untuk memimpin perang dan memenangkan Amerika dari Inggris. George Washington berhasil membawa pasukannya untuk mengepung pasukan Inggris di Yorktown, Virginia dan karena sudah terkepung pada akhirnya Jendral Cornwallis menyerah dan menghasilkan perjanjian Paris pada tahun 1783.",1
TRA184,"Militer Prancis mulai menduduki sebagian besar Lembah Ohio mereka berdalih akan melindungi kepentingan raja, pemburu bulu, serta warga-warga Prancis. Namun perbatasan menjadi tidak jelas dan memicu adanya konflik antara dua negara ini. Washington pada awalnya menentang niatnya koloni untuk mendeklarasikan kemerdekaan mereka titik namun dia tak menentang adanya pemberontakan.",1
